"price","age","nbh","cbd","inst","rooms","area","land","baths"
60000,48,4,3000,1000,7,1660,4578,1
40000,83,4,4000,1000,6,2612,8370,2
34000,58,4,4000,1000,6,1144,5000,1
63900,11,4,4000,1000,5,1136,10000,1
44000,48,4,4000,2000,5,1868,10000,1
46000,78,4,3000,2000,6,1780,9500,3
56000,22,4,4000,2000,6,1700,10878,2
38500,78,4,3000,2000,6,1556,3870,2
60500,42,4,3000,2000,8,1642,7000,2
55000,41,4,3000,2000,5,1443,7950,2
39000,78,4,1000,4000,6,1439,4990,1
41000,38,0,6000,4000,5,1482,8017,1
50900,18,0,5000,4000,6,1290,12538,2
52000,32,0,9000,7000,6,1274,7858,1
49000,18,0,9000,8000,6,1476,15664,1
80000,58,4,2000,3000,7,1838,9249,2
50000,56,4,2000,3000,6,1536,10491,2
59000,70,4,2000,3000,5,2458,9400,2
42000,26,4,3000,4000,4,750,8000,1
71500,21,4,4000,4000,5,2106,13370,2
43000,24,4,4000,5000,4,1000,8000,1
48000,33,4,5000,5000,6,1410,10370,2
37500,128,2,14000,14000,7,2346,43560,2
59000,15,2,18000,18000,6,1215,44867,1
59000,7,2,18000,18000,6,2128,44174,2
94000,0,2,16000,17000,7,2290,25250,3
95920,0,2,17000,17000,7,2464,48269,3
95000,0,2,17000,17000,7,2240,44916,3
95900,0,2,17000,17000,7,2464,50808,3
91000,1,2,16000,17000,7,2240,53000,3
96900,0,2,16000,16000,7,2464,41463,3
47000,104,4,2000,4000,8,2576,12568,2
68500,18,4,3000,4000,6,1377,12877,2
36000,188,0,9000,9000,6,2071,9665,2
90000,12,0,8000,8000,7,2352,26890,3
66900,178,0,10000,9000,10,1750,12516,2
44000,1,4,3000,6000,6,1869,12500,2
43500,48,4,2000,6000,6,1490,5000,1
40000,56,4,2000,6000,5,1867,5000,1
46000,3,4,3000,6000,7,1261,10000,2
48000,21,0,3000,5000,5,1038,15431,1
61000,12,4,4000,6000,7,1800,13030,2
55500,28,4,4000,5000,6,1972,20089,2
63000,23,0,6000,7000,6,2089,16935,1
32000,148,0,6000,7000,6,1464,29129,2
32000,25,0,7000,7000,6,2112,12500,2
82000,13,0,12000,12000,6,1964,25182,2
51000,18,0,14000,17000,5,1166,45000,1
83000,38,1,10000,14000,6,3861,51062,2
1e+05,10,0,14000,16000,7,2252,44000,3
131500,8,0,14000,16000,9,2598,44000,3
37500,21,0,17000,18000,4,2276,43560,1
49000,68,4,3000,6000,6,1875,9790,2
54000,13,4,4000,6000,6,1570,8790,2
56900,38,0,4000,7000,6,2032,10993,2
62000,22,0,4000,8000,6,1318,20550,2
48000,21,0,4000,8000,5,1078,21800,2
48000,56,4,4000,7000,7,3460,11421,2
53000,28,4,3000,7000,5,1592,12700,2
49000,54,4,4000,7000,8,915,14000,1
31000,28,4,5000,7000,5,925,4585,1
56900,14,0,4000,7000,6,1421,21120,2
34000,78,0,10000,10000,5,990,1710,1
98000,153,0,10000,11000,9,3792,35942,4
85500,3,0,12000,12000,7,2544,26726,3
122500,0,0,12000,12000,7,2206,50094,3
185000,189,1,14000,17000,9,5078,132422,4
67500,5,1,17000,19000,5,1358,44775,2
120000,8,1,16000,19000,7,2171,44064,3
79000,1,1,19000,21000,7,1998,43561,3
77500,1,1,18000,21000,7,1998,147668,3
58000,26,1,20000,22000,6,1356,544500,2
61900,0,1,19000,21000,9,1411,44431,3
79900,2,1,19000,21000,7,1540,46174,3
62400,0,1,20000,22000,7,1296,46609,2
89500,1,1,22000,24000,7,2240,43560,2
89500,0,6,21000,23000,7,2436,43560,3
94900,0,6,22000,24000,7,2384,43560,3
85900,0,6,24000,26000,6,1862,56392,2
92900,0,6,24000,26000,7,2036,49737,3
84900,0,6,24000,26000,7,2082,43958,3
85900,0,6,24000,26000,7,1962,44465,3
85900,0,6,24000,26000,7,2286,43996,3
97900,0,6,24000,25000,7,2464,43560,3
78400,0,6,24000,25000,6,1862,45302,2
91400,0,6,24000,26000,8,2738,43995,2
106500,0,6,25000,26000,7,2240,43995,3
109500,0,6,24000,26000,7,2780,43995,3
148000,1,1,14000,16000,7,2781,43560,3
75000,12,1,16000,19000,6,1537,48352,2
90400,1,1,14000,16000,7,2796,43560,3
125000,1,1,14000,16000,9,2794,43995,3
123000,158,6,22000,23000,9,2872,104544,3
63000,30,6,21000,22000,6,1357,45302,1
